id,x,y,europe
1243,12,78,True
1244,12,79,True
1245,12,80,True
1246,12,81,True
1247,12,82,True
1248,12,83,True
1249,12,84,True
1250,12,85,True
1251,12,86,True
1252,12,87,True
1253,12,88,True
1254,12,89,True
1255,12,90,True
1256,12,91,True
1257,12,92,True
1258,12,93,True
1259,12,94,True
1260,12,95,True
1261,12,96,True
1262,13,0,True
1263,13,1,True
1264,13,2,True
1265,13,3,True
1266,13,4,True
1267,13,5,True
1268,13,6,True
1269,13,7,True
1270,13,8,True
1271,13,9,True
1272,13,10,True
1273,13,11,True
1274,13,12,True
1275,13,13,True
1276,13,14,True
1277,13,15,True
1278,13,16,True
1279,13,17,True
1280,13,18,True
1281,13,19,True
1282,13,20,True
1283,13,21,True
1284,13,22,True
1285,13,23,True
1286,13,24,True
1287,13,25,True
1288,13,26,True
1289,13,27,True
1290,13,28,True
1291,13,29,True
1292,13,30,True
1293,13,31,True
1294,13,32,True
1295,13,33,True
1296,13,34,True
1297,13,35,True
1298,13,36,True
1299,13,37,True
1300,13,38,True
1301,13,39,True
1302,13,40,True
1303,13,41,True
1304,13,42,True
1305,13,43,True
1306,13,44,True
1307,13,45,True
1308,13,46,True
1309,13,47,True
1310,13,48,True
1311,13,49,True
1312,13,50,True
1313,13,51,True
1314,13,52,True
1315,13,53,True
1316,13,54,True
1317,13,55,True
1318,13,56,True
1319,13,57,True
1320,13,58,True
1321,13,59,True
1322,13,60,True
1323,13,61,True
1324,13,62,True
1325,13,63,True
1326,13,64,True
1327,13,65,True
1328,13,66,True
1329,13,67,True
1330,13,68,True
1331,13,69,True
1332,13,70,True
1333,13,71,True
1334,13,72,True
1335,13,73,True
1336,13,74,True
1337,13,75,True
1338,13,76,True
1339,13,77,True
1340,13,78,True
1341,13,79,True
1342,13,80,True
1343,13,81,True
1344,13,82,True
1345,13,83,True
1346,13,84,True
1347,13,85,True
1348,13,86,True
1349,13,87,True
1350,13,88,True
1351,13,89,True
1352,13,90,True
1353,13,91,True
1354,13,92,True
1355,13,93,True
1356,13,94,True
1357,13,95,True
1358,13,96,True
1359,14,0,True
1360,14,1,True
1361,14,2,True
1362,14,3,True
1363,14,4,True
1364,14,5,True
1365,14,6,True
1366,14,7,True
1367,14,8,True
1368,14,9,True
1369,14,10,True
1370,14,11,True
1371,14,12,True
1372,14,13,True
1373,14,14,True
1374,14,15,True
1375,14,16,True
1376,14,17,True
1377,14,18,True
1378,14,19,True
1379,14,20,True
1380,14,21,True
1381,14,22,True
1382,14,23,True
1383,14,24,True
1384,14,25,True
1385,14,26,True
1386,14,27,True
1387,14,28,True
1388,14,29,True
1389,14,30,True
1390,14,31,True
1391,14,32,True
1392,14,33,True
1393,14,34,True
1394,14,35,True
1395,14,36,True
1396,14,37,True
1397,14,38,True
1398,14,39,True
1399,14,40,True
1400,14,41,True
1401,14,42,True
1402,14,43,True
1403,14,44,True
1404,14,45,True
1405,14,46,True
1406,14,47,True
1407,14,48,True
1408,14,49,True
1409,14,50,True
1410,14,51,True
1411,14,52,True
1412,14,53,True
1413,14,54,True
1414,14,55,True
1415,14,56,True
1416,14,57,True
1417,14,58,True
1418,14,59,True
1419,14,60,True
1420,14,61,True
1421,14,62,True
1422,14,63,True
